Class,Method,Assertion,Type,FP or FN,Overall,Failure/Killed,Success/Ratio
SimpleMethods.java,getMin,assert(old_b >= (result + (result - a)));,c,fp,1010,0,1010
SimpleMethods.java,getMin,assert(old_b >= (result + (result - a)));,c,fn,4,3,.75000000000000000000
